ANO,MÊS,DIA,Viana do Castelo,Braga,Vila Real,Bragança,Porto,Aveiro,Viseu,Guarda,Coimbra,Castelo Branco,Leiria,Santarém,Portalegre,Lisboa,Setúbal,Évora,Beja,Faro
2010,3,18,-990,9471.7,12477.6,10096.8,10377.5,12161.9,15095.9,14620.9,14262.8,13942.8,11272.6,13344,12480,12702.3,10536.2,11072,13095,14834.7
2010,3,19,-990,6301.8,6118.9,4323.3,8316.8,6066.1,6876.8,-990,7101.2,8949.7,7735.8,9038,9042.5,11054.6,6531.8,10985.6,11774.6,11461.4
2010,3,20,-990,4469.8,9697.3,7924.5,4154,8483.5,4753.6,4591.6,8087.5,7952.4,8700.6,9842.4,4835.8,8959.4,9663.8,8544.5,7530.9,7682.7
2010,3,21,-990,20936.2,16462.9,16823.6,16480.9,-990,-990,14683,16762.9,15937.3,16836.4,18463.2,12970.7,19480.1,18411.8,13987.5,12813.8,14913.2
2010,3,22,-990,20656,16486.7,20450.3,20218,-990,17771.4,18202.6,16637.9,21829.9,16447.3,17379,19329.9,16260.5,18310,16085.1,14941,20203.7
2010,3,23,-990,12031.4,-990,-990,13360.1,15947.5,15543.6,13289.5,13228.6,15458.6,14575,16686.3,17214.5,18597.7,16352.5,17183.2,14540.3,13743.1
2010,3,24,-990,15345.2,6065.8,6913.5,17042.9,14659.9,6171.1,5958,13114.6,6409.3,15556.7,15279.4,3390.6,16726.8,13244.6,9767.3,11136.7,19062.7
2010,3,25,-990,8982,7497.3,14310.6,12398.8,10603.5,12176.6,12831.5,15269.2,13523.4,12581.1,12054.5,9838.1,16207,13892.8,11580.9,9729.3,7740
2010,3,26,-990,14192.6,9708.4,13979.5,14111.6,15987.7,9294.6,12533.4,13182.7,14715.9,13148.9,16344.7,13174.7,17984.1,-990,14887.2,19109.6,20939.1
2010,3,27,-990,15835,15481.3,17697,14743.5,17229.5,16579.5,21510.2,20928.6,19630.7,19225.7,17575.3,21601.6,19802.2,18922.5,21700.5,23926.3,23875.6
2010,3,28,-990,20003.2,19441.9,17839,20047.5,20817.1,21956.7,22424.4,21954.1,22819.6,20688.9,21700.9,22038.2,23171.6,21100.9,22641.8,23425.9,23113.8
2010,3,29,-990,7511,7696.6,7572.7,9434,13050.7,6371,9114.4,11172.9,10691.5,12180.8,11688.1,3637.4,13991.7,10068.3,10045.4,12607.5,15538.5
