Data;Ano;Mês;ano_mes;Distrito;Concelho;Nível de Tensão;Potência Instalada (kW);Número de Instalações;Energia Injetada (kWh);Código Distrito;Código Concelho;Código Freguesia
2024-07;2024;07;202407;Lisboa;Vila Franca de Xira;MT/AT;6436.11;34;111708.0;11;1114;111400
2024-07;2024;07;202407;Castelo Branco;Vila de Rei;BTN/BTE;287.88;81;23356.820999999974;05;0510;051000
2024-07;2024;07;202407;Viana do Castelo;Viana do Castelo;MT/AT;7402.61;36;162132.0;16;1609;160900
2024-07;2024;07;202407;Portalegre;Gavião;BTN/BTE;276.09999999999997;123;17018.568999999985;12;1209;120900
2024-07;2024;07;202407;Guarda;Manteigas;BTN/BTE;145.33;45;8832.175999999994;09;0908;090800
2024-07;2024;07;202407;Santarém;Rio Maior;MT/AT;3823.64;25;107128.0;14;1414;141400
2024-07;2024;07;202407;Aveiro;Murtosa;BTN/BTE;876.6699999999995;279;56279.04899999996;01;0112;011200
2024-07;2024;07;202407;Faro;Loulé;MT/AT;4977.93;26;58655.0;08;0808;080800
2024-07;2024;07;202407;Faro;Loulé;BTN/BTE;10023.140000000005;2088;444298.2959999985;08;0808;080800
2024-07;2024;07;202407;Setúbal;Setúbal;BTN/BTE;6120.680000000063;2914;382955.4289999988;15;1512;151200
2024-07;2024;07;202407;Vila Real;Valpaços;BTN/BTE;1499.6000000000006;698;122716.50800000002;17;1712;171200
2024-07;2024;07;202407;Évora;Mourão;BTN/BTE;187.54999999999998;61;11429.82899999999;07;0708;070800
2024-07;2024;07;202407;Coimbra;Oliveira do Hospital;MT/AT;1523.1399999999999;16;49916.5;06;0611;061100
2024-07;2024;07;202407;;;MT/AT;148.9;4;9090.75;04----;04----;04----
2024-07;2024;07;202407;Castelo Branco;Castelo Branco;MT/AT;4717.339999999999;33;148889.75;05;0502;050200
2024-07;2024;07;202407;Braga;Amares;BTN/BTE;2048.870000000001;754;135484.06699999986;03;0301;030100
2024-07;2024;07;202407;Vila Real;Boticas;BTN/BTE;493.79000000000025;164;32289.15199999998;17;1702;170200
2024-07;2024;07;202407;Aveiro;Vale de Cambra;MT/AT;3860.9300000000003;24;143991.0;01;0119;011900
2024-07;2024;07;202407;Viseu;Cinfães;MT/AT;139.44;3;3330.0;18;1804;180400
2024-07;2024;07;202407;Viseu;Castro daire;MT/AT;1014.75;12;52500.75;18;1803;180300
2024-07;2024;07;202407;Viseu;Cinfães;BTN/BTE;670.9499999999999;299;38791.32199999992;18;1804;180400
2024-07;2024;07;202407;Coimbra;Tábua;BTN/BTE;1003.6799999999998;349;65988.00199999995;06;0616;061600
2024-07;2024;07;202407;Vila Real;Mondim de Basto;BTN/BTE;412.96000000000004;182;26490.274999999954;17;1705;170500
2024-07;2024;07;202407;Santarém;Tomar;MT/AT;3134.84;28;135565.75;14;1418;141800
2024-07;2024;07;202407;Portalegre;Portalegre;MT/AT;2216.3500000000004;11;36175.0;12;1214;121400
2024-07;2024;07;202407;Viseu;Penedono;BTN/BTE;208.43999999999988;70;18356.412999999968;18;1812;181200
2024-07;2024;07;202407;Aveiro;São João da Madeira;BTN/BTE;1353.17;191;78117.77199999997;01;0116;011600
2024-07;2024;07;202407;Aveiro;São João da Madeira;MT/AT;3453.7599999999993;21;58269.75;01;0116;011600
2024-07;2024;07;202407;Faro;Olhão;BTN/BTE;3003.2900000000022;894;187943.4599999996;08;0810;081000
2024-07;2024;07;202407;Coimbra;Oliveira do Hospital;BTN/BTE;2124.68;551;149275.30499999993;06;0611;061100
2024-07;2024;07;202407;Faro;Alcoutim;BTN/BTE;196.42;47;15028.368999999988;08;0802;080200
2024-07;2024;07;202407;Lisboa;Alenquer;BTN/BTE;2656.450000000005;1148;198609.87000000002;11;1101;110100
2024-07;2024;07;202407;Faro;São Brás de Alportel;BTN/BTE;1529.0000000000005;409;88499.96599999987;08;0812;081200
2024-07;2024;07;202407;Santarém;Vila Nova da Barquinha;BTN/BTE;688.0999999999996;328;50137.55399999997;14;1420;142000
2024-07;2024;07;202407;Coimbra;Cantanhede;MT/AT;6762.539999999999;34;321517.75;06;0602;060200
2024-07;2024;07;202407;Faro;Aljezur;BTN/BTE;998.8100000000002;296;81640.57499999987;08;0803;080300
2024-07;2024;07;202407;Santarém;Ourém;MT/AT;6294.870000000001;51;129397.25;14;1421;142100
2024-07;2024;07;202407;Viseu;Sernancelhe;BTN/BTE;651.4300000000001;141;40528.831999999944;18;1818;181800
2024-07;2024;07;202407;Aveiro;Albergaria-a-Velha;MT/AT;4984.27;28;144408.912;01;0102;010200
2024-07;2024;07;202407;Leiria;Pombal;BTN/BTE;5567.200000000015;1559;379444.5549999998;10;1015;101500
2024-07;2024;07;202407;Bragança;Vila Flor;MT/AT;2104.14;6;166606.5;04;0410;041000
2024-07;2024;07;202407;Évora;Reguengos de Monsaraz;MT/AT;1790.54;6;30691.0;07;0711;071100
2024-07;2024;07;202407;Évora;Mora;BTN/BTE;625.17;162;40788.715999999964;07;0707;070700
2024-07;2024;07;202407;Lisboa;Mafra;BTN/BTE;7304.190000000033;2763;468044.628999999;11;1109;110900
2024-07;2024;07;202407;Viana do Castelo;Arcos de Valdevez;BTN/BTE;1564.82;573;94190.64799999975;16;1601;160100
2024-06;2024;06;202406;Guarda;Guarda;MT/AT;2484.7900000000004;16;102850.75;09;0907;090700
2024-07;2024;07;202407;Guarda;Celorico da Beira;MT/AT;316.70000000000005;4;1562.25;09;0903;090300
2024-07;2024;07;202407;Lisboa;Azambuja;BTN/BTE;1515.459999999997;620;98336.18999999984;11;1103;110300
2024-07;2024;07;202407;Braga;Fafe;MT/AT;3915.87;24;254127.5;03;0307;030700
2024-07;2024;07;202407;Braga;Terras de Bouro;BTN/BTE;526.9000000000003;200;24902.082999999966;03;0310;031000
2024-07;2024;07;202407;Castelo Branco;Vila de Rei;MT/AT;620.86;6;49515.25;05;0510;051000
2024-07;2024;07;202407;Beja;Castro Verde;MT/AT;406.4;5;13689.75;02;0206;020600
2024-07;2024;07;202407;Aveiro;Vale de Cambra;BTN/BTE;1777.3700000000008;489;133358.61099999998;01;0119;011900
2024-07;2024;07;202407;Bragança;Mirandela;BTN/BTE;1578.5300000000004;473;110655.4025763248;04;0407;040700
2024-07;2024;07;202407;Porto;Paredes;BTN/BTE;4863.3499999999985;1506;263718.50799999945;13;1310;131000
2024-07;2024;07;202407;Leiria;Ansião;BTN/BTE;903.8999999999994;309;62860.35299999992;10;1003;100300
2024-07;2024;07;202407;Vila Real;Murça;MT/AT;195.0;3;9.75;17;1707;170700
2024-07;2024;07;202407;Aveiro;Santa Maria da Feira;MT/AT;24203.59;122;961108.041;01;0109;010900
2024-07;2024;07;202407;Lisboa;Loures;BTN/BTE;6280.620000000028;2019;380307.67199999944;11;1107;110700
2024-06;2024;06;202406;Aveiro;Mealhada;MT/AT;5636.38;22;198737.0;01;0111;011100
2024-06;2024;06;202406;Aveiro;Mealhada;BTN/BTE;1593.1499999999978;629;77135.59999999995;01;0111;011100
